Image,Timing (ns),Pinch Radius (mm),Left Instability Amplitude (mm),Right Instability Amplitude (mm),Avg Instability Amplitude (mm),Instability Amplitude std (mm),MRTI Instability (mm),MRTI Instability std (mm),Left Instability Amplitude IQR (mm),Right Instability Amplitude IQR (mm),Avg Instability Amplitude IQR (mm),Instability Amplitude std IQR (mm),Left Flaring Angle (deg),Right Flaring Angle (deg),Avg Flaring Angle (deg),Flaring Angle std (deg),Top Margin,Bottom Margin,Threshold (%),Point Mode,N,Pinch Height (mm),Total Points,Points in left boundary,Points in right boundary
07234_MCP1_4.jpg,,6.127752537931340,2.7699335543711400,1.901605124974640,2.3357693396728900,0.4341642146982510,2.3346552547350600,0.4352572233517310,4.214788732394370,3.073943661971830,3.6443661971831000,0.5704225352112680,0.1157905597796750,0.9811295726102440,0.5484600661949590,0.4326695064152840,62,49,32,all,5,24,,1070,1174
07234_MCP2_3.jpg,,13.016153605015700,0.8070339546830480,0.9511694810539630,0.8791017178685060,0.072067763,0.8425270107434030,0.059579957,1.3017241379310300,1.6206896551724100,1.4612068965517200,0.1594827586206900,2.1211351897589300,3.577892903,2.8495140462487600,0.7283788564898300,79,79,30,all,5,24,,550,500
07234_MCP2_4.jpg,,11.843890344311400,0.7026245126137520,0.9743349733824380,0.8384797429980950,0.1358552303843430,0.7991809969029010,0.1310221422140450,0.943113772,1.5089820359281400,1.2260479041916200,0.282934132,2.3810886385508200,3.0779631556037900,2.7295258970773000,0.3484372585264840,79,79,29,all,5,24,,512,672
07236_MCP1_1.jpg,,8.375584098294550,1.2269171873877000,0.9538410246532990,1.0903791060205000,0.1365380813671990,0.6822574902093630,0.1878855202413940,1.5212765957446800,1.4574468085106400,1.4893617021276600,0.031914894,10.114053603431000,10.135914634550800,10.124984118990900,0.010930516,57,119,50,all,5,24,,286,276
07236_MCP1_2.jpg,,6.251862676330760,1.3610415076681300,1.0340696690147100,1.197555588,0.1634859193267070,0.8192336294225750,0.1246270326092110,1.872340425531920,1.755319149,1.8138297872340400,0.058510638,10.81359947810720,8.642791003330760,9.728195240718970,1.085404237388210,31,128,44,all,5,24,,273,280
07236_MCP1_3.jpg,,2.8832591908463500,0.7594845298659280,0.545592909,0.652538719,0.1069458105564240,0.5969663197075720,0.060467019,1.288888888888890,0.8,1.0444444444444400,0.2444444444444440,4.211844370874950,1.142714549487100,2.677279460181030,1.5345649106939300,44,97,38,all,5,24,,305,355
07236_MCP1_4.jpg,,3.888958517978800,1.2255452758222600,0.8631670007106120,1.0443561382664400,0.1811891375558240,0.9120408722973860,0.076249178,0.9893617021276600,1.1063829787234000,1.047872340425530,0.058510638,7.624881785,2.274114802,4.949498293271400,2.675383491532400,35,79,29,all,5,24,,344,364
07236_MCP2_3.jpg,,12.624957010258900,0.917912383,0.7318656060035680,0.8248889945488350,0.093023389,0.7923155451433480,0.06275188,0.9101123595505620,0.8764044943820220,0.8932584269662920,0.016853933,3.590991243585340,0.6082235245474070,2.0996073840663700,1.4913838595189700,35,79,56.00000000000000,all,5,24,,500,460
07236_MCP2_4.jpg,,12.18437671721600,0.7891511254450090,0.5151049460361650,0.652128036,0.1370230897044220,0.5456041215279840,0.2288734278747870,0.9036144578313250,0.9036144578313250,0.9036144578313250,0,1.6030097582932900,4.243533640492720,2.9232716993930100,1.320261941099720,71,79,36,all,5,24,,452,325
07237_MCP1_1.jpg,,7.303022469,1.409204587342040,0.9195209405139490,1.164362763927990,0.2448418234140430,0.844492942,0.045133229,2.1214285714285700,1.4357142857142900,1.7785714285714300,0.3428571428571430,12.171265881706900,2.7446245659551500,7.457945223831030,4.713320657875890,53,93,59,all,5,24,,303,366
07237_MCP1_2.jpg,,4.728152244,0.9333986924148200,1.1403458714294200,1.036872281922120,0.1034735895073030,0.8692475252995550,0.2705054311237880,1.0821428571428600,1.6714285714285700,1.3767857142857100,0.2946428571428570,7.877319835133640,0.4095354226770330,4.143427628905340,3.733892206228300,53,93,54,all,5,24,,236,353
07237_MCP1_3.jpg,,2.339945288716490,0.7884984589560720,0.4498031663538720,0.6191508126549720,0.1693476463011000,0.4698950779757160,0.081210327,1.1167883211678800,0.5693430656934310,0.8430656934306570,0.2737226277372260,5.974033811201710,2.459818809812790,4.216926311,1.757107500694460,44,97,37,all,5,24,,271,316
07237_MCP1_4.jpg,,4.467016931244200,0.7349615788539250,1.0918723962962900,0.9134169875751080,0.1784554087211820,0.7766262095100280,0.29456023,0.926470588,1.7205882352941200,1.3235294117647100,0.3970588235294120,4.946986060432090,1.8070487796694500,3.377017420050770,1.5699686403813200,31,15,25,all,5,24,,327,356
07237_MCP2_3.jpg,,13.742786623472500,0.739155431,0.3650475193235500,0.5521014751354220,0.1870539558118730,0.4565838517294100,0.1782595325853450,0.5138121546961330,0.4475138121546960,0.4806629834254140,0.033149171,4.223362771,2.854178593807400,3.538770682219460,0.6845920884120580,57,146,54,all,5,24,,451,323
07237_MCP2_4.jpg,,13.341764426125600,0.9227072091807950,0.342291102,0.6324991553998880,0.2902080537809070,0.4472054863341790,0.2640654306183130,0.5060240963855420,0.5331325301204820,0.5195783132530120,0.013554217,5.831882984195190,2.9803546239968000,4.406118804095990,1.4257641800992000,66,75,35,all,5,24,,456,330
07238_MCP1_1.jpg,,3.694043192,0.7747143131842960,1.071166616869590,0.9229404650269400,0.1482261518426450,0.5658935562693110,0.1115144440757520,1.315217391304350,2.0869565217391300,1.7010869565217400,0.3858695652173910,6.712694716684670,8.631208770049670,7.671951743,0.9592570266825020,35,84,32,all,5,24,,288,304
07238_MCP1_2.jpg,,5.266606556673180,0.982889827,1.7679277668160500,1.375408796793410,0.3925189700226490,1.0706140279915300,0.1658403794893740,1.2391304347826100,3.4347826086956500,2.3369565217391300,1.0978260869565200,4.916827335944810,14.664507138159700,9.790667237,4.873839901107450,71,97,37,all,5,24,,395,282
07238_MCP1_4.jpg,,8.682915758896150,2.416788743161130,3.501353723932000,2.9590712335465700,0.5422824903854360,2.293167769475610,0.089947397,3.477777777777780,5.7444444444444400,4.611111111111110,1.1333333333333300,14.607772083682600,34.45814405,24.532958067954600,9.925185984271930,71,97,25,all,5,24,,504,476
07238_MCP2_3.jpg,,11.60487795491730,2.033927201636050,0.6827992169053210,1.358363209270690,0.6755639923653650,0.997748145,0.3315535232336290,2.9661016949152500,1.2203389830508500,2.093220338983050,0.8728813559322030,17.12695995458320,1.506425287742560,9.316692621162890,7.810267333420330,71,97,40,all,5,24,,426,397
07238_MCP2_4.jpg,,10.56367413071720,1.9319356870904000,0.6883380755116680,1.3101368813010300,0.6217988057893640,0.8782555975073200,0.5376671210879760,1.572289156626510,1.1927710843373500,1.3825301204819300,0.1897590361445780,13.222970188145200,5.630332140721780,9.426651164433490,3.796319023711720,40,62,28.000000000000000,all,5,24,,542,378
